mean_centroid,std_centroid,mean_rolloff,std_rolloff,mean_zcr,std_zcr,mean_flux,std_flux,low_e,bpm_second,bpm_first,tempo_strength_second,tempo_strength_first,estimated_tempo,genre
1276.25390625,179.534927368,3284.24584961,415.0909729,0.140788018703,0.0440841056406,491.720428467,222.837966919,0.521604938272,31.5120045732,129.19921875,0.670636240496,0.732765308931,129.19921875,blues
904.589416504,288.635559082,2488.28125,712.851257324,0.0846107602119,0.0517913773656,287.62512207,184.549362183,0.496913580247,64.599609375,33.9997944079,0.565792400013,0.647872364413,67.9995888158,blues
1195.92346191,286.199737549,2896.01635742,569.99810791,0.138623580337,0.0527114011347,680.194274902,262.877868652,0.509259259259,39.1512784091,161.499023438,0.591442069679,0.72582697967,161.499023438,blues
769.280578613,247.242294312,2116.66748047,736.948547363,0.0586163923144,0.0326811894774,294.145050049,210.665985107,0.555555555556,30.76171875,61.5234375,0.57460331687,0.679524953579,64.599609375,blues
1434.65002441,368.622802734,3276.63574219,720.035339355,0.17962411046,0.06438087672,391.765777588,227.804016113,0.574074074074,67.9995888158,143.5546875,0.635167260335,0.64268620485,129.19921875,blues
1358.19714355,630.494567871,3072.56860352,1090.33825684,0.152221485972,0.105989076197,377.741088867,330.191558838,0.58024691358,107.666015625,71.77734375,0.533575298369,0.555555557659,107.666015625,blues
1250.79919434,477.842163086,2805.79638672,846.164550781,0.13394755125,0.0753263682127,533.87286377,466.040039062,0.567901234568,129.19921875,71.77734375,0.445331006189,0.568451505196,75.9995404412,blues
1139.2130127,466.154022217,2776.25463867,742.187561035,0.109447449446,0.0730686187744,436.230377197,371.119659424,0.58024691358,143.5546875,46.142578125,0.481151473919,0.521665368664,92.28515625,blues
1177.23815918,243.109817505,3170.86401367,494.397094727,0.104685388505,0.0454399250448,470.78314209,195.34602356,0.524691358025,80.7495117188,86.1328125,0.659649119347,0.720291689705,86.1328125,blues
1307.22705078,415.351074219,3338.74316406,672.04876709,0.130883529782,0.0594129413366,267.814483643,244.392120361,0.583333333333,86.1328125,40.3747558594,0.550405905945,0.561914617797,129.19921875,blues
1165.77685547,316.646850586,2787.71923828,863.879150391,0.118631966412,0.0401473790407,471.588012695,318.54095459,0.518518518519,53.8330078125,161.499023438,0.556069831268,0.619837958196,161.499023438,blues
930.479370117,418.290252686,2591.99267578,1028.4119873,0.0701509937644,0.0612379424274,133.698272705,111.946525574,0.583333333333,27.4891954787,28.0867866848,0.595146635763,0.595769826996,161.499023438,blues
1155.68078613,468.598602295,2961.1809082,853.97253418,0.127300277352,0.0903527736664,345.232299805,233.535919189,0.577160493827,61.5234375,92.28515625,0.564185390819,0.569720572513,92.28515625,blues
930.296081543,381.013092041,2532.27807617,770.883605957,0.0927055180073,0.0676253959537,278.106658936,137.292633057,0.626543209877,71.77734375,107.666015625,0.606755292654,0.616773956374,107.666015625,blues
852.995178223,439.516876221,2253.94165039,880.300354004,0.0825504735112,0.0759929940104,203.449584961,227.474487305,0.62962962963,80.7495117188,143.5546875,0.521665917572,0.552262695513,143.5546875,blues
1089.9864502,442.720489502,2859.66235352,683.179382324,0.118238024414,0.0861390829086,268.442749023,219.176437378,0.598765432099,64.599609375,92.28515625,0.558262569257,0.567166394728,99.3840144231,blues
1055.4630127,414.304901123,2730.79541016,740.554870605,0.11139152199,0.0761993452907,279.764160156,228.444976807,0.586419753086,184.5703125,49.6920072115,0.604427757906,0.643109709658,99.3840144231,blues
923.938537598,421.435333252,2431.02539062,887.015319824,0.0910089835525,0.0533235520124,276.590087891,185.457885742,0.595679012346,56.1735733696,161.499023438,0.626260256955,0.69854455555,161.499023438,blues
978.90637207,383.383758545,2747.51049805,733.762573242,0.096592143178,0.0802505537868,186.030761719,158.24005127,0.586419753086,41.6771673387,80.7495117188,0.565808426514,0.636749381845,86.1328125,blues
989.061218262,461.785369873,2456.01464844,999.0390625,0.11161339283,0.0803907066584,310.28225708,234.373031616,0.586419753086,61.5234375,258.3984375,0.658207395963,0.697118870711,117.453835227,blues
946.5703125,275.935333252,2639.27954102,576.165649414,0.0927070230246,0.050690125674,220.751831055,171.888916016,0.651234567901,129.19921875,67.9995888158,0.553350655543,0.566395805046,143.5546875,blues
820.913391113,514.501953125,1989.03015137,1103.83813477,0.0898362025619,0.0904347449541,277.414489746,259.402374268,0.577160493827,92.28515625,99.3840144231,0.559797234111,0.701898889031,99.3840144231,blues
